0.56;0.56;0.44;0.5;0.44;0.39;0.28;0.22;0;0;1
0.72;0.5;0.28;0.22;0.22;0.67;0.39;0.56;0;0;1
0.56;0.39;0.39;0.28;1;0.72;0.61;0.5;0;1;0
0.72;0.67;0.72;0.56;0.89;0.67;0.44;0.5;0;1;0
0.39;0.28;0.22;0.33;0.5;0.44;0.39;0.28;1;0;0
0.94;0.67;0.61;0.61;0.22;0.28;0.06;0.17;1;0;0
0.44;0.33;0.22;0.17;0.17;0.44;0.22;0.22;1;0;0
0.56;0.28;0.11;0.06;0.44;0.44;0.39;0.28;0;0;1
0.22;0.22;0.11;0;0.33;0.28;0.28;0.17;0;1;0
0.89;0.72;0.56;0.56;0.22;0.06;0;0.06;1;0;0
0.89;0.67;0.44;0.5;0.44;0.33;0.22;0.17;1;0;0
0.44;0.44;0.39;0.28;0.72;0.5;0.28;0.22;1;0;0
0.17;0.44;0.22;0.22;0.56;0.39;0.39;0.28;0;1;0
0.22;0.28;0.06;0.17;0.22;0.22;0.11;0;1;0;0
0.22;0.67;0.39;0.56;0.72;0.67;0.72;0.56;1;0;0
0.44;0.39;0.28;0.22;0.89;0.72;0.56;0.56;0;0;1
0.33;0.28;0.28;0.17;0.56;0.28;0.11;0.06;0;1;0
0.22;0.06;0;0.06;0.39;0.28;0.22;0.33;1;0;0
0.5;0.44;0.39;0.28;0.94;0.67;0.61;0.61;0;0;1
1;0.72;0.61;0.5;0.56;0.56;0.44;0.5;0;1;0
0.56;0.28;0.11;0.06;0.5;0.44;0.39;0.28;0;1;0
0.72;0.67;0.72;0.56;0.22;0.06;0;0.06;1;0;0
0.44;0.33;0.22;0.17;0.22;0.28;0.06;0.17;1;0;0
0.22;0.22;0.11;0;0.89;0.72;0.56;0.56;0;1;0
0.72;0.5;0.28;0.22;0.44;0.39;0.28;0.22;0;0;1
0.89;0.67;0.44;0.5;0.94;0.67;0.61;0.61;1;0;0
0.17;0.44;0.22;0.22;0.56;0.56;0.44;0.5;0;1;0
0.22;0.67;0.39;0.56;0.39;0.28;0.22;0.33;1;0;0
0.44;0.44;0.39;0.28;1;0.72;0.61;0.5;0;0;1
0.56;0.39;0.39;0.28;0.33;0.28;0.28;0.17;1;0;0
